103549275X	Lange Nacht der Museen (14 : 2012 : Mannheim u.a.)
1035779676	Mainzer Minipressen-Messe (22 : 2013 : Mainz)
1035796864	Schultheaterwochen (2012 : Ludwigshafen am Rhein)
1035818868	Praxis_372Campus (2013 : Koblenz)
1093411562	Open Ohr Festival (41 : 2015 : Mainz)
1036435741	Ausstellung Susanne Ritter - Neue Bildnisse und Zeichnungen (2013 : Bevern, Holzminden)
1162956496	Weinfest der VG Wörrstadt (38. : 2017 : Nieder-Saulheim)
1163675229	Rheinperlenfest (67. : 2018 : Worms-Rheindürkheim)
1038024234	Weinfest der VG Wörrstadt (34 : 2013 : Wallertheim)
1132274540	Baumesse Idar-Oberstein (6. : 2017 : Idar-Oberstein)
1132278511	Porta Nigra Junior-Champions-Cup (1. : 2016 : Trier)
1151348015	Nächtliche Fahrt
16344631-3	Bildhauersymposium (2011 : Worms)
1133304400	Festival Euroclassic (2016 : Blieskastel)
16344996-X	Ausstellung Rainer Probst, Bread and Roses (2009 : Worms)
16345011-0	Festival Euroclassic (2011 : Blieskastel u.a.)
1166095347	Verzällche Üs Dearne (Veranstaltung : 3. : 2013 : Dernau)
116609586X	Verzällche Üs Dearne (Veranstaltung : 8. : 2018 : Dernau)
1166168581	Säubrennerkirmes (2018 : Wittlich)
16346048-6	Sit up! (5 : 2010 : Ludwigshafen u.a.)
1022095315	Ausstellung Die Eroberung der Wand. Nazarenerfresken im Blick der Gegenwart (2012 : Remagen-Rolandseck)
1088069045	Vita Sanctae Hildegardis
1136427163	Rheinperlenfest (66. : 2017 : Worms-Rheindürkheim)
1023297914	Internationale Musiktage Dom zu Speyer (2010 : Speyer)
116176870X	Kunsttage Winningen (5. : 2016 : Winningen)
1162297654	Evangelische Kirche im Rheinland. Landessynode. Tagung (70. : 2018 : Bad Neuenahr- Ahrweiler)
16339742-9	Mosel-Musikfestival (2012 : Trier u.a.)
1041724578	Ausstellung Geteilte Erde - Malerei Indigener Australier und Keramik von Lotte Reimers (2013-2014 : Leipzig)
