spatial	broader
https://d-nb.info/gnd/4039705-1	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4116352-7	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4645473-1	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4264313-2	https://rpb.lobid.org/spatial#n24
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4678434-2	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4440854-7	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4119314-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4283491-0	https://rpb.lobid.org/spatial#n18
https://d-nb.info/gnd/4101050-4	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4031415-7	https://rpb.lobid.org/spatial#n4031415n7
