gndIdentifier	thumbnail	id	url
119173522	https://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20B%20145%20Bild-F081237-0014%2C%20Bundesverdienstkreuz%20an%20Freiherr%20von%20Boeselager.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Bundesarchiv%20B%20145%20Bild-F081237-0014%2C%20Bundesverdienstkreuz%20an%20Freiherr%20von%20Boeselager.jpg	https://commons.wikimedia.org/wiki/File:Bundesarchiv%20B%20145%20Bild-F081237-0014%2C%20Bundesverdienstkreuz%20an%20Freiherr%20von%20Boeselager.jpg?uselang=de
117209856	https://commons.wikimedia.org/wiki/Special:FilePath/Rudolf%20Stang2.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Rudolf%20Stang2.jpg	https://commons.wikimedia.org/wiki/File:Rudolf%20Stang2.jpg?uselang=de
118613960	https://commons.wikimedia.org/wiki/Special:FilePath/Bundespost%20Philipp%20Franz%20von%20Siebold.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Bundespost%20Philipp%20Franz%20von%20Siebold.jpg	https://commons.wikimedia.org/wiki/File:Bundespost%20Philipp%20Franz%20von%20Siebold.jpg?uselang=de
118563599	https://commons.wikimedia.org/wiki/Special:FilePath/Professor%20Hermann%20Knackfu%C3%9F.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Professor%20Hermann%20Knackfu%C3%9F.jpg	https://commons.wikimedia.org/wiki/File:Professor%20Hermann%20Knackfu%C3%9F.jpg?uselang=de
107392836	https://commons.wikimedia.org/wiki/Special:FilePath/Elmar%20Pieroth%202007.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Elmar%20Pieroth%202007.jpg	https://commons.wikimedia.org/wiki/File:Elmar%20Pieroth%202007.jpg?uselang=de
118605364	https://commons.wikimedia.org/wiki/Special:FilePath/August%20Sander.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/August%20Sander.jpg	https://commons.wikimedia.org/wiki/File:August%20Sander.jpg?uselang=de
135362768	https://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Stadtfeld.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Stadtfeld.jpg	https://commons.wikimedia.org/wiki/File:Martin%20Stadtfeld.jpg?uselang=de
1051149266	https://commons.wikimedia.org/wiki/Special:FilePath/Heinz%20Gries.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Heinz%20Gries.jpg	https://commons.wikimedia.org/wiki/File:Heinz%20Gries.jpg?uselang=de
102199841	https://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Hackenberg.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Hackenberg.jpg	https://commons.wikimedia.org/wiki/File:Albert%20Hackenberg.jpg?uselang=de
134314468	https://commons.wikimedia.org/wiki/Special:FilePath/2019-05-05%20ZDF%20Fernsehgarten%20Thomas%20Anders%20by%20Olaf%20Kosinsky%20OK1072%20%28cropped%29.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/2019-05-05%20ZDF%20Fernsehgarten%20Thomas%20Anders%20by%20Olaf%20Kosinsky%20OK1072%20%28cropped%29.jpg	https://commons.wikimedia.org/wiki/File:2019-05-05%20ZDF%20Fernsehgarten%20Thomas%20Anders%20by%20Olaf%20Kosinsky%20OK1072%20%28cropped%29.jpg?uselang=de
140036660	https://commons.wikimedia.org/wiki/Special:FilePath/J-zoellner%20may2011.JPG?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/J-zoellner%20may2011.JPG	https://commons.wikimedia.org/wiki/File:J-zoellner%20may2011.JPG?uselang=de
13360831X	https://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Ludwig%20Agricola.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Ludwig%20Agricola.jpg	https://commons.wikimedia.org/wiki/File:Otto%20Ludwig%20Agricola.jpg?uselang=de
116456590	https://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Casimir%20Graf%20von%20Carmer.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Heinrich%20Casimir%20Graf%20von%20Carmer.jpg	https://commons.wikimedia.org/wiki/File:Johann%20Heinrich%20Casimir%20Graf%20von%20Carmer.jpg?uselang=de
118584871	https://commons.wikimedia.org/wiki/Special:FilePath/FriedrichMueller.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/FriedrichMueller.jpg	https://commons.wikimedia.org/wiki/File:FriedrichMueller.jpg?uselang=de
128584580	https://commons.wikimedia.org/wiki/Special:FilePath/Fritz%20Michel%201.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Fritz%20Michel%201.jpg	https://commons.wikimedia.org/wiki/File:Fritz%20Michel%201.jpg?uselang=de
135279364	https://commons.wikimedia.org/wiki/Special:FilePath/Lulo%20Reinhardt.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Lulo%20Reinhardt.jpg	https://commons.wikimedia.org/wiki/File:Lulo%20Reinhardt.jpg?uselang=de
