rppdId	preferredName
pk00898	Doemming, Klaus Berto ¬von¬
pk00900	Burkhard, Matthias
pk00901	Simon, Matthias
pk00902	Schreiber, Johann Joseph
pk00903	Eltz, Peter Franz
pk00905	Gayer, Johann Dominikus
pk00906	Eltz-Rübenach, Emmerich Joseph ¬von¬
pk00907	Habicht, Theo
pk00910	Guske, Wilhelm
pk00912	Schulte-Wissermann, Eberhard
pk00913	Karp, Guido
pk00914	Maahs, Heinz Dieter
pk00916	Stupp, Hans Wilhelm
pk00917	Wilbert, Karl-Jürgen
pk00918	Zumbach von Koesfeld, Lothar
pk00919	Groß, Wilhelm
pk00920	Balzar, Andreas Ludwig
pk00923	Bertulf / II. / Trier, Abt
pk00925	Abel, Willy
pk00926	Althans, Ernst Friedrich
pk00927	Althans, Carl Ludwig
pk00928	Back, Friedrich
pk00929	Back, Otto
pk00930	Backofen, Hans
pk00931	Verhülsdonk, Eduard
pk00932	Bausch, Johann Jakob
pk00933	Machhausen, Joseph Maria
pk00934	Adams, Magdalena
pk00939	Adolf / II. / Mainz, Erzbischof, Kurfürst
pk00940	Adolf Wilhelm August / Luxembourg, Grand-duc
pk00942	Binsfeld, Peter
pk00943	Bodmann, Franz Joseph
pk00944	Abrunculus / Trier, Bischof
pk00945	Ada
pk00946	Schmidt, Karris Elard
pk00947	Wolf, Horst
pk00948	Adalbero / III. / von Basel
pk00949	Ado / Viennensis
pk00950	Agritius / Trier, Bischof
pk00951	Herborn, Clara
pk00952	Barnstedt, August Erich Julius
pk00954	Basin
pk00955	Berno / Augiensis
pk00956	Bertolf / Trier, Erzbischof
pk00957	Bertrada
pk00958	Bonosus / Episcopus
pk00959	Boos, Martin
pk00963	Lackas, Peter
pk00964	Schönleber, Werner
pk00965	Schuster, Gudrun
pk00966	Bierbrauer, Werner
pk00967	Bretschneider, Paul
pk00968	Britto / Trier, Bischof
pk00971	Aler, Paul
pk00972	Anethan, Johann Heinrich
pk00973	Walcourt, Arnold I. ¬von¬
pk00974	Arnold / II. / Trier, Erzbischof, Kurfürst
pk00975	Behr, Ludwig
pk00976	Berlenbach, Josef Heinrich
pk00977	Bickel, Johann Daniel Karl
pk00978	Schinderhannes
pk00979	Böhme, Theodor
pk00981	Lohmann, August
pk00982	Dünnebier, Max
pk00983	Niederschlag, Heribert
pk00984	Kuhn, Wilhelm
pk00985	Breysig, Johann Adam
pk00986	Adalbero / von Luxemburg
pk00987	Adela / von Pfalzel
pk00988	Altgeld, John Peter
pk00989	Jerchel, Paul
pk00990	Anethan, Johann ¬von¬
pk00992	Stößel, Heinz
pk00993	Cauer, Eduard
pk00994	Antz, Joseph
pk00995	Arnold / von Unkel
pk00996	Roth, Heinrich
pk00997	Bechtolsheimer, Heinrich
pk00998	Bender, Philipp
pk00999	Berengosus / Treverensis
pk01000	Ramann, Richard
pk01002	Strumm, Otto
pk01003	Meffert, Otto
pk01004	Bleibtreu, Leopold
pk01005	Kientzler, Ludwig
pk01006	Becker, Gerd
pk01007	Breiden, Theodor
pk01008	Bruno / Trier, Erzbischof
pk01009	Gottschling, Wolfgang
pk01011	Bungert, August
pk01012	Burgmann, Nicolaus
pk01013	Buse, Rudolf Ehrenfried
pk01014	Butzbach, Johannes
pk01015	Luhn, Matthias
pk01016	Huhn, Gisela
pk01017	Steffens, Walter
pk01018	Lauff, Joseph ¬von¬
pk01019	Christ, Hans
pk01020	Clotten, Jakob
pk01022	Decker, Otto
pk01023	Diel, August Friedrich Adrian
pk01025	Egil / Sens, Erzbischof
pk01026	Enscheringen, Johann ¬von¬
pk01027	Hobraeck, Gustav
pk01028	Zimmer, Arthur
pk01029	Schäfer, Willy
pk01031	Stoffel, Thomas
pk01032	Wiemeler, Hans-Gerd
pk01033	Horn, Hans-Josef
pk01034	Weschbach, Franz
pk01035	Müller, Markus
pk01036	Schmitz, Johannes
pk01037	Kalpers, Johannes
pk01038	Görg, Jürgen
pk01039	Frank, Wolfgang
pk01040	Leyendecker, Heinz
pk01041	Wörsdörfer, Rita
pk01042	Faus, Lilli
pk01043	Dasbach, Toni
pk01044	Reuther, Helene
pk01045	Franzer, Werner
pk01046	Schmitz, Ernst Matthias
pk01047	Burgeff, Hans Karl
pk01048	Feth, Hans-Georg
pk01049	Macke, Hans-Theo
pk01050	Niegisch, Constanze
pk01051	Jokisch, Alexander
pk01052	Enscheringen, Ludolph ¬von¬
pk01055	Gerhard, Paul
pk01056	Kroeber, Joh. Burkhard
pk01058	Drey, Peter
pk01059	Leonhardt, Nic
pk01062	Hilger, Josef
pk01063	Hörter, Fridolin
pk01064	Horch, August
